,X_i,Y_i,Z_i,X_f,Y_f,Z_f,Cu [%],Au [ppm],Ton [t],B [$]
215,60.0,115.0,30.0,75.0,125.0,55.0,2.027070802509549,0.5126332410224452,22850.32,3341606.14
216,60.0,115.0,35.0,75.0,125.0,60.0,2.062773640160309,0.5509096887699755,23127.909999999996,3473638.6399999997
217,60.0,115.0,40.0,75.0,125.0,65.0,1.9964820449866083,0.563736423735619,22987.73,3338654.6799999997
218,60.0,115.0,45.0,75.0,125.0,70.0,1.874244440250857,0.5500032300612363,20030.579999999998,2705152.81
219,60.0,120.0,5.0,75.0,130.0,30.0,0.3164585207149807,0.06132271133264861,20679.719999999998,7766.239999999991
220,60.0,120.0,10.0,75.0,130.0,35.0,0.5636591585332273,0.11400938723840412,20917.759999999995,435153.30999999994
221,60.0,120.0,15.0,75.0,130.0,40.0,0.8756649912522544,0.1844194375715334,21222.609999999997,994324.4999999999
222,60.0,120.0,20.0,75.0,130.0,45.0,1.1684497549332005,0.2619269272215334,21575.75,1547405.24
223,60.0,120.0,25.0,75.0,130.0,50.0,1.3960534444348265,0.3324024164119199,21949.899999999998,2006390.5899999999
224,60.0,120.0,30.0,75.0,130.0,55.0,1.5442597662888373,0.38613953973503384,22242.84,2321997.09
225,60.0,120.0,35.0,75.0,130.0,60.0,1.6355619950131333,0.43283704313883964,22519.15,2542030.4000000004
226,60.0,120.0,40.0,75.0,130.0,65.0,1.6005966109384977,0.4515533146658423,22481.149999999998,2487362.1100000003
227,60.0,120.0,45.0,75.0,130.0,70.0,1.4973004362842937,0.4431264075531782,19670.659999999996,2008769.99
228,60.0,125.0,15.0,75.0,135.0,40.0,0.4931275730616528,0.10101009457222063,20867.65,310292.3699999999
229,60.0,125.0,20.0,75.0,135.0,45.0,0.7035337675031824,0.1567384410801964,21116.16,689250.5999999999
230,60.0,125.0,25.0,75.0,135.0,50.0,0.8797619398216256,0.2111620100345595,21392.07,1020465.9099999999
231,60.0,125.0,30.0,75.0,135.0,55.0,1.0273867695028431,0.255616358384629,21634.409999999996,1301297.02
232,60.0,125.0,35.0,75.0,135.0,60.0,1.1359023244562467,0.2968016193591432,21867.909999999996,1524277.79
233,60.0,125.0,40.0,75.0,135.0,65.0,1.1102730008843555,0.3108882505677162,21925.57,1489795.61
234,60.0,125.0,45.0,75.0,135.0,70.0,1.035283096526399,0.30629202122828186,19266.75,1189796.1099999999
235,60.0,130.0,20.0,75.0,140.0,45.0,0.40225388439637666,0.08867615669277833,20866.819999999996,150748.47999999995
236,60.0,130.0,25.0,75.0,140.0,50.0,0.5041024807481455,0.12239276682526307,21040.829999999998,330235.86999999994
237,60.0,130.0,30.0,75.0,140.0,55.0,0.6054770085215151,0.1518106520828063,21188.72,514249.4799999999
238,60.0,130.0,35.0,75.0,140.0,60.0,0.6836264737348455,0.17983635035326526,21339.489999999998,661380.11
239,60.0,130.0,40.0,75.0,140.0,65.0,0.6508115751063316,0.18410017037300214,21447.06,611996.12
240,60.0,130.0,45.0,75.0,140.0,70.0,0.6052604447143487,0.18262031695181186,18903.82,468349.87
